Mã bưu cục,Mã đơn hàng,Loại đơn,Khách hàng,Trạng thái,Thời gian tồn đọng,warehouse_name
21298000,GYH9TNFX,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,Bưu cục Thị Trấn Liên Hương-Tuy Phong-Bình Thuận
21298000,GYH9TNYP,Luân chuyển trả,OTHER,Đã đóng kiện,6_12,Bưu cục Thị Trấn Liên Hương-Tuy Phong-Bình Thuận
21298000,GYH9YX3C,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,Bưu cục Thị Trấn Liên Hương-Tuy Phong-Bình Thuận
21298000,GYH9R3QL,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,Bưu cục Thị Trấn Liên Hương-Tuy Phong-Bình Thuận
21298000,GYH9E3D6,Luân chuyển trả,OTHER,Đã đóng kiện,6_12,Bưu cục Thị Trấn Liên Hương-Tuy Phong-Bình Thuận
21298000,GYHVQRQD,Luân chuyển trả,OTHER,Đã đóng kiện,6_12,Bưu cục Thị Trấn Liên Hương-Tuy Phong-Bình Thuận
21298000,GYHV7CYC,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,Bưu cục Thị Trấn Liên Hương-Tuy Phong-Bình Thuận
21298000,GYHVVMLB,Luân chuyển trả,OTHER,Đã đóng kiện,6_12,Bưu cục Thị Trấn Liên Hương-Tuy Phong-Bình Thuận
21298000,GYHVVMHV,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,Bưu cục Thị Trấn Liên Hương-Tuy Phong-Bình Thuận
21298000,GYHVE736,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,Bưu cục Thị Trấn Liên Hương-Tuy Phong-Bình Thuận
21298000,GYH69BY3,Luân chuyển trả,OTHER,Đã đóng kiện,6_12,Bưu cục Thị Trấn Liên Hương-Tuy Phong-Bình Thuận
21298000,GYH633C8,Luân chuyển trả,OTHER,Không cần đóng kiện,6_12,Bưu cục Thị Trấn Liên Hương-Tuy Phong-Bình Thuận
21298000,VNGH80599466608,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,Bưu cục Thị Trấn Liên Hương-Tuy Phong-Bình Thuận
21298000,VNGH80429146609,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,Bưu cục Thị Trấn Liên Hương-Tuy Phong-Bình Thuận
21298000,VNGH80456886703,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,Bưu cục Thị Trấn Liên Hương-Tuy Phong-Bình Thuận
